_id,MonthYear,Station,Station_Type,Entry_Exit,Trip
447,2019-02,Albion Park Station,Train,Entry,6810
448,2019-02,Albion Park Station,Train,Exit,5900
449,2019-03,Albion Park Station,Train,Entry,7460
450,2019-03,Albion Park Station,Train,Exit,6500
451,2019-04,Albion Park Station,Train,Entry,7470
452,2019-04,Albion Park Station,Train,Exit,6510
453,2019-05,Albion Park Station,Train,Entry,10080
454,2019-05,Albion Park Station,Train,Exit,8820
455,2019-06,Albion Park Station,Train,Entry,7110
456,2019-06,Albion Park Station,Train,Exit,6200
457,2019-07,Albion Park Station,Train,Entry,7420
458,2019-07,Albion Park Station,Train,Exit,6490
459,2019-08,Albion Park Station,Train,Entry,7830
460,2019-08,Albion Park Station,Train,Exit,6840
461,2019-09,Albion Park Station,Train,Entry,6950
462,2019-09,Albion Park Station,Train,Exit,6160
463,2019-10,Albion Park Station,Train,Entry,7730
464,2019-10,Albion Park Station,Train,Exit,6680
465,2019-11,Albion Park Station,Train,Entry,7590
466,2019-11,Albion Park Station,Train,Exit,6660
467,2019-12,Albion Park Station,Train,Entry,6230
468,2019-12,Albion Park Station,Train,Exit,5500
469,2020-01,Albion Park Station,Train,Entry,6930
470,2020-01,Albion Park Station,Train,Exit,6050
471,2020-02,Albion Park Station,Train,Entry,6310
472,2020-02,Albion Park Station,Train,Exit,5360
473,2020-03,Albion Park Station,Train,Entry,5530
474,2020-03,Albion Park Station,Train,Exit,4930
475,2020-04,Albion Park Station,Train,Entry,1520
476,2020-04,Albion Park Station,Train,Exit,1290
477,2020-05,Albion Park Station,Train,Entry,2340
478,2020-05,Albion Park Station,Train,Exit,2000
479,2020-06,Albion Park Station,Train,Entry,3520
480,2020-06,Albion Park Station,Train,Exit,2950
481,2020-07,Albion Park Station,Train,Entry,4070
482,2020-07,Albion Park Station,Train,Exit,3550
483,2020-08,Albion Park Station,Train,Entry,3500
484,2020-08,Albion Park Station,Train,Exit,2810
485,2020-09,Albion Park Station,Train,Entry,3760
486,2020-09,Albion Park Station,Train,Exit,3120
487,2020-10,Albion Park Station,Train,Entry,4360
488,2020-10,Albion Park Station,Train,Exit,3630
489,2020-11,Albion Park Station,Train,Entry,4030
490,2020-11,Albion Park Station,Train,Exit,3460
491,2020-12,Albion Park Station,Train,Entry,3860
492,2020-12,Albion Park Station,Train,Exit,3410
493,2021-01,Albion Park Station,Train,Entry,3440
494,2021-01,Albion Park Station,Train,Exit,3000
495,2021-02,Albion Park Station,Train,Entry,3860
496,2021-02,Albion Park Station,Train,Exit,3260
497,2021-03,Albion Park Station,Train,Entry,4680
498,2021-03,Albion Park Station,Train,Exit,3910
499,2021-04,Albion Park Station,Train,Entry,4640
500,2021-04,Albion Park Station,Train,Exit,3960
501,2021-05,Albion Park Station,Train,Entry,4400
502,2021-05,Albion Park Station,Train,Exit,3760
503,2021-06,Albion Park Station,Train,Entry,3830
504,2021-06,Albion Park Station,Train,Exit,3420
505,2021-07,Albion Park Station,Train,Entry,1200
506,2021-07,Albion Park Station,Train,Exit,1080
507,2021-08,Albion Park Station,Train,Entry,1240
508,2021-08,Albion Park Station,Train,Exit,1080
509,2021-09,Albion Park Station,Train,Entry,970
510,2021-09,Albion Park Station,Train,Exit,880
511,2021-10,Albion Park Station,Train,Entry,1640
512,2021-10,Albion Park Station,Train,Exit,1390
513,2021-11,Albion Park Station,Train,Entry,5060
514,2021-11,Albion Park Station,Train,Exit,4540
515,2021-12,Albion Park Station,Train,Entry,3040
516,2021-12,Albion Park Station,Train,Exit,2580
517,2022-01,Albion Park Station,Train,Entry,2480
518,2022-01,Albion Park Station,Train,Exit,2150
519,2022-02,Albion Park Station,Train,Entry,2820
520,2022-02,Albion Park Station,Train,Exit,2460
521,2022-03,Albion Park Station,Train,Entry,2760
522,2022-03,Albion Park Station,Train,Exit,2210
523,2022-04,Albion Park Station,Train,Entry,3100
524,2022-04,Albion Park Station,Train,Exit,2570
525,2022-05,Albion Park Station,Train,Entry,4500
526,2022-05,Albion Park Station,Train,Exit,4090
527,2022-06,Albion Park Station,Train,Entry,4430
528,2022-06,Albion Park Station,Train,Exit,3780
529,2022-07,Albion Park Station,Train,Entry,3390
530,2022-07,Albion Park Station,Train,Exit,2870
531,2022-08,Albion Park Station,Train,Entry,4210
532,2022-08,Albion Park Station,Train,Exit,3490
533,2022-09,Albion Park Station,Train,Entry,4690
