MonthYear,Station,"Station_Type ",Entry_Exit,Trip
2024-07,Merrylands Station,Train,Exit,148880
2024-07,Merrylands Station,Train,Entry,153527
2024-07,Metford Station,Train,Exit,1049
2024-07,Metford Station,Train,Entry,1110
2024-07,Milsons Point Station,Train,Exit,181399
2024-07,Milsons Point Station,Train,Entry,168038
2024-07,Mindaribba Station,Train,Exit,Less than 50
2024-07,Mindaribba Station,Train,Entry,Less than 50
2024-07,Minnamurra Station,Train,Exit,1945
2024-07,Minnamurra Station,Train,Entry,1919
2024-07,Minto Station,Train,Exit,66348
2024-07,Minto Station,Train,Entry,69353
2024-07,Miranda Station,Train,Exit,89577
2024-07,Miranda Station,Train,Entry,84430
2024-07,Mittagong Station,Train,Exit,3586
2024-07,Mittagong Station,Train,Entry,3986
2024-07,Morisset Station,Train,Exit,15346
2024-07,Morisset Station,Train,Entry,16878
2024-07,Mortdale Station,Train,Exit,67392
2024-07,Mortdale Station,Train,Entry,74002
2024-07,Moss Vale Station,Train,Exit,3866
2024-07,Moss Vale Station,Train,Entry,4173
2024-07,Mount Colah Station,Train,Exit,11821
2024-07,Mount Colah Station,Train,Entry,12924
2024-07,Mount Druitt Station,Train,Exit,151714
2024-07,Mount Druitt Station,Train,Entry,154273
2024-07,Mount Kuring-gai Station,Train,Exit,5232
2024-07,Mount Kuring-gai Station,Train,Entry,5362
2024-07,Mount Victoria Station,Train,Exit,2327
2024-07,Mount Victoria Station,Train,Entry,2353
2024-07,Mulgrave Station,Train,Exit,6057
2024-07,Mulgrave Station,Train,Entry,6246
2024-07,Museum Station,Train,Exit,302475
2024-07,Museum Station,Train,Entry,277394
2024-07,Muswellbrook Station,Train,Exit,308
2024-07,Muswellbrook Station,Train,Entry,462
2024-07,Narara Station,Train,Exit,4360
2024-07,Narara Station,Train,Entry,5161
2024-07,Narwee Station,Train,Exit,37721
2024-07,Narwee Station,Train,Entry,41011
2024-07,Newcastle Interchange,Train,Exit,37213
2024-07,Newcastle Interchange,Train,Entry,36643
2024-07,Newtown Station,Train,Exit,271138
2024-07,Newtown Station,Train,Entry,236935
2024-07,Niagara Park Station,Train,Exit,2286
2024-07,Niagara Park Station,Train,Entry,2435
2024-07,Normanhurst Station,Train,Exit,19870
2024-07,Normanhurst Station,Train,Entry,24300
2024-07,North Ryde Station,Metro,Exit,65815
2024-07,North Ryde Station,Metro,Entry,64908
2024-07,North Strathfield Station,Train,Exit,62527
2024-07,North Strathfield Station,Train,Entry,62769
2024-07,North Sydney Station,Train,Exit,498329
2024-07,North Sydney Station,Train,Entry,479477
2024-07,North Wollongong Station,Train,Exit,23850
2024-07,North Wollongong Station,Train,Entry,24338
2024-07,Norwest Station,Metro,Exit,58167
2024-07,Norwest Station,Metro,Entry,58788
2024-07,Oak Flats Station,Train,Exit,7722
2024-07,Oak Flats Station,Train,Entry,8511
2024-07,Oatley Station,Train,Exit,39493
2024-07,Oatley Station,Train,Entry,41462
2024-07,Olympic Park Station,Train,Exit,72398
2024-07,Olympic Park Station,Train,Entry,72384
2024-07,Otford Station,Train,Exit,511
2024-07,Otford Station,Train,Entry,565
2024-07,Ourimbah Station,Train,Exit,3510
2024-07,Ourimbah Station,Train,Entry,3700
2024-07,Padstow Station,Train,Exit,53499
2024-07,Padstow Station,Train,Entry,56666
2024-07,Panania Station,Train,Exit,34296
2024-07,Panania Station,Train,Entry,37339
2024-07,Parramatta Station,Train,Exit,1033638
2024-07,Parramatta Station,Train,Entry,1014114
2024-07,Paterson Station,Train,Exit,109
2024-07,Paterson Station,Train,Entry,136
2024-07,Pendle Hill Station,Train,Exit,68882
2024-07,Pendle Hill Station,Train,Entry,73056
2024-07,Pennant Hills Station,Train,Exit,38307
2024-07,Pennant Hills Station,Train,Entry,40128
2024-07,Penrith Station,Train,Exit,175881
2024-07,Penrith Station,Train,Entry,171038
2024-07,Penrose Station,Train,Exit,Less than 50
2024-07,Penrose Station,Train,Entry,Less than 50
2024-07,Penshurst Station,Train,Exit,59341
