sa2_name,pop_density
Badgerys Creek,1.3
Cecil Hills,1827.2
Green Valley,3982.0
Hinchinbrook,2494.7
Hoxton Park - Carnes Hill - Horningsea Park,3400.2
West Hoxton - Middleton Grange,1926.0
Cobbitty - Bringelly,78.2
Gledswood Hills - Gregory Hills,2223.9
Leppington - Catherine Field,534.3
Oran Park,1815.8
Bonnyrigg Heights - Bonnyrigg,3357.5
Bossley Park - Abbotsbury,2072.9
Cabramatta - Lansvale,3208.5
Cabramatta West - Mount Pritchard,3469.3
Canley Vale - Canley Heights,4147.8
Edensor Park,3292.5
Fairfield,4501.7
Fairfield - West,4694.7
Greenfield Park - Prairiewood,2418.7
Horsley Park - Kemps Creek,74.5
Smithfield - Wetherill Park,3044.0
St Johns Park - Wakeley,3095.5
Wetherill Park Industrial,4.6
Casula,2375.7
Chipping Norton - Moorebank,1508.0
Holsworthy - Wattle Grove,288.6
Lurnea - Cartwright,3900.8
Warwick Farm,1393.9
Edmondson Park,2793.5
Liverpool - East,9009.3
Liverpool - West,3667.3
Prestons,1682.9
Gymea - Grays Point,3216.2
Miranda - Yowie Bay,3736.3
Sylvania - Taren Point,2728.3
Caringbah,3443.8
Caringbah South,3318.5
Cronulla - Kurnell - Bundeena,1011.7
Lilli Pilli - Port Hacking - Dolans Bay,2649.1
Woolooware - Burraneer,2864.9
Heathcote - Waterfall,243.0
Illawong - Alfords Point,1451.5
Menai - Lucas Heights - Woronora,625.7
Oyster Bay - Como - Jannali,2557.2
Royal National Park,0.3
Sutherland - Kirrawee,3152.4
Engadine,1979.0
Loftus - Yarrawarrah,1931.5
Woronora Heights,1146.8
Total New South Wales,10.6
,
